Service,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,Location,Hours,Discounted?
Lash Lift w/ tint,,Lift,Eyelash,Hair,,90,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
YUMI Lashes Lash Lift,,Lift,Eyelash,Hair,,180,La Petite Nail Shop,"Mon 11am-7pm, Tues 10am-7pm, Wed 11am-7pm, Thurs-Sun 10am-7pm",FALSE
Classic Full Set (2-2.5 hours),"Classic lashes are one extension applied to one natural lash. It is perfect for someone who wants to enhance their natural beauty and lose the mascara!
Classic Fill (2 wks) 1 hr $85
Classic Fill (3 wks) 1.5 hr $100
Must have 40% of lashes to be considered a fill!",Extension,Eyelash,Hair,,190,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Eyelash Extension,,Extension,Eyelash,Hair,,70,Elegant Nails Salon,Mon - Sun 9am-7:30pm,FALSE
Eyelash Extension (Regular),,Extension,Eyelash,Hair,,99,Nels Beauty Salon,Mon-Sun 10:30am-7:30pm,FALSE
Eyelash Extension (Volume),,Extension,Eyelash,Hair,,128,Nels Beauty Salon,Mon-Sun 10:30am-7:30pm,FALSE
Eyelash Extension (Touch-Up),,Extension,Eyelash,Hair,,65,Nels Beauty Salon,Mon-Sun 10:30am-7:30pm,FALSE
Eyelash extent,,Extension,Eyelash,Hair,,150,Rosy Heels,Mon-Sat 9:30am-7pm,FALSE
Lash Enhancement Upper (within lash line),"Includes free touch up 4 weeks after for first time client 
1 hour
Lasts 2 years.
1 year Color Boost $150
2 year Color Boost $200
Full price after 2 years",Eyelash,Semi-permanent makeup,Spa,,300,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Eyelash Tint,,Tinting,Eyelash,Hair,,20,Simply Unique Nails,"Mon-Fri 10am-8pm, Sat 10am-7pm, Sun 11am-6:30pm",FALSE
Eyelash Tint,,Tinting,Eyelash,Hair,,25,Soubella Nails Spa,Tues-Sun 10am-7:30pm,FALSE
Tint Eyebrow ,,Tinting,Eyebrow,Hair,,18,Cascade Nail & Spa,"Mon-Fri 10am-7:30pm, Sat-Sun 10am-7pm ",FALSE
Brow Tinting,,Tinting,Eyebrow,Hair,,20,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
Tint Eyebrow ,,Tinting,Eyebrow,Hair,,15,Diane Nails Care,"Mon-Fri 10:30am-8pm, Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Tint Eyebrow ,,Tinting,Eyebrow,Hair,,15,Elegant Nails Salon,Mon - Sun 9am-7:30pm,FALSE
Tint Eyebrow ,,Tinting,Eyebrow,Hair,,15,Fingertips Nail Salon,Mon - Sat 9:30am-7:30pm,FALSE
Tint Eyebrow ,Tint light eyebrow hair for a darker natural look,Tinting,Eyebrow,Hair,,15,It's M3 Time Nail Salon,"Mon-Fri 10am-7:30pm, Sat 10am-7pm, Sun 11am-6:30pm",FALSE
Eyebrow tint,,Tinting,Eyebrow,Hair,,15,Lotus Nail Salon,"Mon-Sat 10am-7:30pm, Sun 10:30am-7pm",FALSE
Brow Tint,,Tinting,Eyebrow,Hair,,15,Nail Today,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Eyebrow Tint,,Tinting,Eyebrow,Hair,,15,Nali Nails & Spa,"Mon-Sat 9:30am-7:30pm, Sun 10am-7pm",FALSE
Waxing - Full legs,,Full leg,Waxing,Hair Removal,,55,SF Nail Bar,"Tues-Fri 11am-7:30pm, Sat-Sun 10am-7pm",FALSE
Waing - Full leg,,Full leg,Waxing,Hair Removal,,50+,Silk Day Spa,"Mon-Fri 9:30am-7:30pm, Sat 9am-7pm, Sun 10am-6pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,50+,Soubella Nails Spa,Tues-Sun 10am-7:30pm,FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,45+,Sweeties Salon,"Wed-Sat 10:30am-7:30pm, Sun 10:30am-7pm, Mon 10:30am-7:30pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,55,The  Nail Room,"Mon-Fri 10:30am-7pm, Sat-Sun 10am-7pm",FALSE
Waxing - Full leg,,Full leg,Waxing,Hair Removal,,50,White Daisy Nail Spa,"Mon-Sat 9am-7pm, Sun 9:30am-6pm",FALSE
Waxing - Full Legs,,Full leg,Waxing,Hair Removal,,48,Tootsie Toes,"Mon-Sat 10am-7:30pm, Sun 10am-7pm",FALSE
Men's Wax - Eyebrows,,Eyebrow,Men's Waxing,Hair Removal,,25,Cocoon Urban Day Spa,"Tues-Fri 10am-8pm, Sat-Mon 10am-6pm",FALSE
